                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     78,                0.79737,                0.52685,                0.86925,                0.92858,                0.90714,                 0.9416,                0.74432,                 0.8206,                0.44261,                0.93091,             0.00099327,             0.00099327,             0.00099327
                     79,                 0.7884,                0.52192,                0.86819,                 0.9128,                0.90247,                0.92574,                 0.7362,                0.80921,                0.48068,                0.92478,             0.00098761,             0.00098761,             0.00098761
                     80,                0.77836,                0.51335,                 0.8675,                0.90992,                0.91807,                0.92967,                0.74146,                0.83041,                0.50164,                0.93549,             0.00098195,             0.00098195,             0.00098195
                     81,                0.77787,                0.51244,                0.86137,                0.91259,                0.90087,                0.91476,                0.72598,                0.83475,                0.49439,                0.94627,             0.00097629,             0.00097629,             0.00097629
                     82,                0.77948,                0.51785,                0.86698,                 0.9159,                0.90733,                0.92928,                0.73511,                0.87098,                0.52388,                0.96681,             0.00097063,             0.00097063,             0.00097063
                     83,                0.78722,                0.51766,                0.86671,                0.89509,                0.90391,                0.91428,                0.71888,                 0.8439,                0.53124,                0.93342,             0.00096498,             0.00096498,             0.00096498
                     84,                0.78917,                0.51941,                0.86766,                0.89766,                0.91216,                 0.9105,                0.72182,                0.81858,                0.52418,                0.92559,             0.00095932,             0.00095932,             0.00095932
                     85,                 0.7826,                0.51467,                0.86619,                 0.9348,                0.90482,                0.92554,                0.73742,                 0.8034,                0.52412,                0.92377,             0.00095366,             0.00095366,             0.00095366
                     86,                0.78234,                0.51687,                0.87132,                0.87993,                0.91867,                0.90419,                0.72076,                0.80133,                0.50502,                0.92282,               0.000948,               0.000948,               0.000948
                     87,                0.77394,                0.51378,                0.86349,                0.91428,                0.91409,                0.93973,                0.73913,                0.81255,                0.51392,                0.92526,             0.00094234,             0.00094234,             0.00094234
                     88,                0.76811,                0.50697,                0.86328,                0.91527,                0.90792,                0.92673,                 0.7427,                0.81812,                0.48296,                 0.9399,             0.00093668,             0.00093668,             0.00093668
                     89,                0.76324,                0.50656,                0.86434,                0.90661,                0.90519,                0.92992,                0.74328,                0.81037,                0.48041,                  0.918,             0.00093102,             0.00093102,             0.00093102
                     90,                 0.7608,                0.50661,                0.85887,                 0.9191,                0.90468,                0.93025,                0.74002,                0.81657,                0.48887,                 0.9274,             0.00092536,             0.00092536,             0.00092536
                     91,                0.75885,                0.50304,                  0.861,                0.90136,                0.91231,                0.91228,                0.72893,                0.81557,                 0.4955,                0.94708,              0.0009197,              0.0009197,              0.0009197
                     92,                0.76899,                0.50387,                0.86049,                0.86761,                0.92998,                0.90159,                0.72123,                0.79948,                 0.4825,                0.92756,             0.00091405,             0.00091405,             0.00091405
                     93,                0.75995,                0.50479,                0.86103,                0.90307,                0.92683,                0.93651,                0.75504,                0.79279,                0.48813,                0.91838,             0.00090839,             0.00090839,             0.00090839
                     94,                0.75471,                 0.4947,                0.86101,                0.92168,                0.91771,                0.93102,                0.74744,                0.79377,                0.45083,                0.93336,             0.00090273,             0.00090273,             0.00090273
                     95,                0.76148,                0.50343,                0.85955,                 0.8827,                0.92441,                0.91414,                0.73061,                0.78786,                0.49687,                0.91401,             0.00089707,             0.00089707,             0.00089707
                     96,                0.75785,                0.49583,                0.85752,                0.88306,                0.93119,                0.92395,                0.74438,                0.81062,                0.47471,                0.93329,             0.00089141,             0.00089141,             0.00089141
                     97,                 0.7636,                0.50261,                 0.8568,                0.92118,                0.91497,                0.92988,                0.74454,                0.79792,                0.47659,                 0.9312,             0.00088575,             0.00088575,             0.00088575
                     98,                0.74797,                0.49129,                 0.8583,                0.87477,                0.90949,                0.92363,                0.73898,                0.78506,                0.47164,                0.92095,             0.00088009,             0.00088009,             0.00088009
                     99,                0.75175,                0.49443,                0.85455,                0.90392,                0.92612,                0.92412,                0.74136,                0.80321,                0.44847,                0.93421,             0.00087443,             0.00087443,             0.00087443
                    100,                0.75351,                0.49742,                0.85542,                0.91515,                0.91615,                0.93517,                0.75518,                0.79987,                0.47053,                0.93746,             0.00086877,             0.00086877,             0.00086877
                    101,                0.74199,                 0.4935,                 0.8547,                0.94028,                0.90972,                0.94852,                0.76603,                0.79016,                0.45741,                  0.925,             0.00086312,             0.00086312,             0.00086312
                    102,                0.74024,                0.49118,                0.85801,                0.91144,                0.90157,                0.94064,                0.74317,                0.81055,                0.50437,                0.91813,             0.00085746,             0.00085746,             0.00085746
                    103,                 0.7372,                0.48187,                0.85413,                0.88003,                0.91623,                0.91137,                0.73354,                0.78515,                0.48728,                 0.9137,              0.0008518,              0.0008518,              0.0008518
                    104,                0.72739,                0.48266,                0.85278,                0.90098,                0.93113,                 0.9359,                0.75671,                0.79205,                0.46783,                0.91831,             0.00084614,             0.00084614,             0.00084614
                    105,                 0.7308,                0.48235,                0.85093,                0.89723,                0.92137,                0.93594,                0.75605,                0.77917,                0.46138,                0.90761,             0.00084048,             0.00084048,             0.00084048
                    106,                0.73455,                0.47881,                0.85305,                0.92672,                0.91304,                0.94077,                 0.7603,                0.76327,                0.45758,                0.90513,             0.00083482,             0.00083482,             0.00083482
                    107,                0.73322,                0.48427,                0.85302,                0.92599,                0.91148,                0.93768,                0.75961,                 0.7655,                0.46015,                0.91063,             0.00082916,             0.00082916,             0.00082916
                    108,                0.72178,                0.47451,                0.85379,                0.90429,                0.92212,                0.93345,                0.75058,                0.81427,                0.46453,                0.93178,              0.0008235,              0.0008235,              0.0008235
                    109,                0.73222,                0.48073,                0.85047,                0.89932,                0.92157,                0.94095,                0.76098,                 0.8069,                0.44168,                0.93683,             0.00081785,             0.00081785,             0.00081785
                    110,                 0.7289,                0.47654,                0.84715,                 0.8954,                0.94094,                0.94307,                0.76524,                0.78094,                0.43955,                0.92326,             0.00081219,             0.00081219,             0.00081219
                    111,                0.71803,                0.47127,                0.84457,                0.90305,                0.93794,                0.93636,                0.75864,                   0.79,                0.45984,                0.92152,             0.00080653,             0.00080653,             0.00080653
                    112,                 0.7151,                0.47056,                0.85266,                0.92754,                0.92068,                0.94525,                 0.7666,                0.80278,                 0.4585,                 0.9263,             0.00080087,             0.00080087,             0.00080087
                    113,                0.72098,                0.47491,                0.84525,                0.92188,                0.90758,                0.93297,                0.76101,                 0.7713,                0.46502,                0.92381,             0.00079521,             0.00079521,             0.00079521
                    114,                0.71521,                0.47086,                 0.8472,                0.92443,                0.91407,                0.93638,                0.75781,                0.78836,                0.50093,                0.92986,             0.00078955,             0.00078955,             0.00078955
                    115,                0.72354,                0.47989,                0.84561,                0.91951,                 0.9233,                0.94002,                0.76127,                0.78302,                0.46779,                0.91974,             0.00078389,             0.00078389,             0.00078389
                    116,                0.71685,                0.47421,                0.85132,                0.92222,                0.92277,                0.93764,                 0.7654,                0.77743,                0.45488,                0.92816,             0.00077823,             0.00077823,             0.00077823
                    117,                0.71487,                0.48149,                0.85233,                0.91525,                0.91789,                0.92718,                0.74946,                0.77199,                0.47001,                0.92825,             0.00077257,             0.00077257,             0.00077257
                    118,                0.71657,                0.47368,                0.84716,                0.91582,                0.90746,                0.92465,                0.75303,                0.79391,                0.47153,                0.92189,             0.00076692,             0.00076692,             0.00076692
                    119,                0.71383,                0.47289,                0.84465,                0.90296,                0.92716,                0.93142,                0.75793,                0.80517,                0.47206,                0.92255,             0.00076126,             0.00076126,             0.00076126
                    120,                0.71179,                0.47099,                0.84745,                0.91976,                0.89535,                0.92497,                0.75118,                0.77941,                0.47734,                0.92303,              0.0007556,              0.0007556,              0.0007556
                    121,                0.71617,                0.47681,                0.84811,                0.91741,                0.90534,                0.93814,                0.75284,                0.76332,                0.47451,                0.90943,             0.00074994,             0.00074994,             0.00074994
                    122,                0.71437,                0.46617,                 0.8439,                0.93004,                0.90633,                0.93956,                0.76121,                0.76021,                 0.4627,                0.91976,             0.00074428,             0.00074428,             0.00074428
                    123,                0.70826,                0.46866,                0.84262,                 0.9146,                0.91612,                0.94774,                0.77838,                0.75537,                0.44769,                0.90373,             0.00073862,             0.00073862,             0.00073862
                    124,                0.70025,                0.45816,                0.84535,                0.93701,                0.90614,                 0.9419,                0.77118,                0.75679,                0.47431,                0.90803,             0.00073296,             0.00073296,             0.00073296
                    125,                 0.6986,                0.46648,                0.84747,                0.93487,                0.89635,                0.94828,                0.77125,                0.74571,                 0.4746,                0.89975,              0.0007273,              0.0007273,              0.0007273
                    126,                0.70192,                0.46411,                0.84176,                0.93212,                0.91172,                 0.9437,                 0.7674,                0.75003,                0.44942,                0.89747,             0.00072164,             0.00072164,             0.00072164
                    127,                0.69775,                0.45542,                0.83865,                0.91851,                0.92945,                 0.9417,                 0.7653,                0.75619,                0.44974,                0.90867,             0.00071599,             0.00071599,             0.00071599
                    128,                0.70059,                0.46741,                0.84364,                 0.9219,                0.92773,                0.94051,                0.76828,                0.75451,                 0.4622,                0.90666,             0.00071033,             0.00071033,             0.00071033
                    129,                0.69084,                0.45193,                0.83481,                0.92351,                0.92017,                0.93803,                0.76206,                0.75769,                0.45034,                0.91237,             0.00070467,             0.00070467,             0.00070467
